DateKey,Date,Day,WeekNr,Month,MonthShort,MonthNo,Quarter,Year
20050504,5/4/2005,Wednesday,19,May,May,5,2,2005
20050505,5/5/2005,Thursday,19,May,May,5,2,2005
20050506,5/6/2005,Friday,19,May,May,5,2,2005
20050507,5/7/2005,Saturday,19,May,May,5,2,2005
20050508,5/8/2005,Sunday,20,May,May,5,2,2005
20050509,5/9/2005,Monday,20,May,May,5,2,2005
20050510,5/10/2005,Tuesday,20,May,May,5,2,2005
20050511,5/11/2005,Wednesday,20,May,May,5,2,2005
20050512,5/12/2005,Thursday,20,May,May,5,2,2005
20050513,5/13/2005,Friday,20,May,May,5,2,2005
20050514,5/14/2005,Saturday,20,May,May,5,2,2005
20050515,5/15/2005,Sunday,21,May,May,5,2,2005
20050516,5/16/2005,Monday,21,May,May,5,2,2005
20050517,5/17/2005,Tuesday,21,May,May,5,2,2005
20050518,5/18/2005,Wednesday,21,May,May,5,2,2005
20050519,5/19/2005,Thursday,21,May,May,5,2,2005
20050520,5/20/2005,Friday,21,May,May,5,2,2005
20050521,5/21/2005,Saturday,21,May,May,5,2,2005
20050522,5/22/2005,Sunday,22,May,May,5,2,2005
20050523,5/23/2005,Monday,22,May,May,5,2,2005
20050524,5/24/2005,Tuesday,22,May,May,5,2,2005
20050525,5/25/2005,Wednesday,22,May,May,5,2,2005
20050526,5/26/2005,Thursday,22,May,May,5,2,2005
20050527,5/27/2005,Friday,22,May,May,5,2,2005
20050528,5/28/2005,Saturday,22,May,May,5,2,2005
20050529,5/29/2005,Sunday,23,May,May,5,2,2005
20050530,5/30/2005,Monday,23,May,May,5,2,2005
20050531,5/31/2005,Tuesday,23,May,May,5,2,2005
20050601,6/1/2005,Wednesday,23,June,Jun,6,2,2005
20050602,6/2/2005,Thursday,23,June,Jun,6,2,2005
20050603,6/3/2005,Friday,23,June,Jun,6,2,2005
20050604,6/4/2005,Saturday,23,June,Jun,6,2,2005
20050605,6/5/2005,Sunday,24,June,Jun,6,2,2005
20050606,6/6/2005,Monday,24,June,Jun,6,2,2005
20050607,6/7/2005,Tuesday,24,June,Jun,6,2,2005
20050608,6/8/2005,Wednesday,24,June,Jun,6,2,2005
20050609,6/9/2005,Thursday,24,June,Jun,6,2,2005
20050610,6/10/2005,Friday,24,June,Jun,6,2,2005
20050611,6/11/2005,Saturday,24,June,Jun,6,2,2005
20050612,6/12/2005,Sunday,25,June,Jun,6,2,2005
20050613,6/13/2005,Monday,25,June,Jun,6,2,2005
20050614,6/14/2005,Tuesday,25,June,Jun,6,2,2005
20050615,6/15/2005,Wednesday,25,June,Jun,6,2,2005
20050616,6/16/2005,Thursday,25,June,Jun,6,2,2005
20050617,6/17/2005,Friday,25,June,Jun,6,2,2005
20050618,6/18/2005,Saturday,25,June,Jun,6,2,2005
20050619,6/19/2005,Sunday,26,June,Jun,6,2,2005
20050620,6/20/2005,Monday,26,June,Jun,6,2,2005
20050621,6/21/2005,Tuesday,26,June,Jun,6,2,2005
20050622,6/22/2005,Wednesday,26,June,Jun,6,2,2005
20050623,6/23/2005,Thursday,26,June,Jun,6,2,2005
20050624,6/24/2005,Friday,26,June,Jun,6,2,2005
20050625,6/25/2005,Saturday,26,June,Jun,6,2,2005
20050626,6/26/2005,Sunday,27,June,Jun,6,2,2005
20050627,6/27/2005,Monday,27,June,Jun,6,2,2005
20050628,6/28/2005,Tuesday,27,June,Jun,6,2,2005
20050629,6/29/2005,Wednesday,27,June,Jun,6,2,2005
20050630,6/30/2005,Thursday,27,June,Jun,6,2,2005
20050701,7/1/2005,Friday,27,July,Jul,7,3,2005
20050702,7/2/2005,Saturday,27,July,Jul,7,3,2005
20050703,7/3/2005,Sunday,28,July,Jul,7,3,2005
20050704,7/4/2005,Monday,28,July,Jul,7,3,2005
20050705,7/5/2005,Tuesday,28,July,Jul,7,3,2005
20050706,7/6/2005,Wednesday,28,July,Jul,7,3,2005
20050707,7/7/2005,Thursday,28,July,Jul,7,3,2005
20050708,7/8/2005,Friday,28,July,Jul,7,3,2005
20050709,7/9/2005,Saturday,28,July,Jul,7,3,2005
20050710,7/10/2005,Sunday,29,July,Jul,7,3,2005
20050711,7/11/2005,Monday,29,July,Jul,7,3,2005
20050712,7/12/2005,Tuesday,29,July,Jul,7,3,2005
20050713,7/13/2005,Wednesday,29,July,Jul,7,3,2005
20050714,7/14/2005,Thursday,29,July,Jul,7,3,2005
20050715,7/15/2005,Friday,29,July,Jul,7,3,2005
20050716,7/16/2005,Saturday,29,July,Jul,7,3,2005
20050717,7/17/2005,Sunday,30,July,Jul,7,3,2005
20050718,7/18/2005,Monday,30,July,Jul,7,3,2005
20050719,7/19/2005,Tuesday,30,July,Jul,7,3,2005
20050720,7/20/2005,Wednesday,30,July,Jul,7,3,2005
20050721,7/21/2005,Thursday,30,July,Jul,7,3,2005
20050722,7/22/2005,Friday,30,July,Jul,7,3,2005
20050723,7/23/2005,Saturday,30,July,Jul,7,3,2005
20050724,7/24/2005,Sunday,31,July,Jul,7,3,2005
20050725,7/25/2005,Monday,31,July,Jul,7,3,2005
20050726,7/26/2005,Tuesday,31,July,Jul,7,3,2005
20050727,7/27/2005,Wednesday,31,July,Jul,7,3,2005
20050728,7/28/2005,Thursday,31,July,Jul,7,3,2005
20050729,7/29/2005,Friday,31,July,Jul,7,3,2005
20050730,7/30/2005,Saturday,31,July,Jul,7,3,2005
20050731,7/31/2005,Sunday,32,July,Jul,7,3,2005
20050801,8/1/2005,Monday,32,August,Aug,8,3,2005
20050802,8/2/2005,Tuesday,32,August,Aug,8,3,2005
20050803,8/3/2005,Wednesday,32,August,Aug,8,3,2005
20050804,8/4/2005,Thursday,32,August,Aug,8,3,2005
20050805,8/5/2005,Friday,32,August,Aug,8,3,2005
20050806,8/6/2005,Saturday,32,August,Aug,8,3,2005
20050807,8/7/2005,Sunday,33,August,Aug,8,3,2005
20050808,8/8/2005,Monday,33,August,Aug,8,3,2005
20050809,8/9/2005,Tuesday,33,August,Aug,8,3,2005
20050810,8/10/2005,Wednesday,33,August,Aug,8,3,2005
20050811,8/11/2005,Thursday,33,August,Aug,8,3,2005
20050812,8/12/2005,Friday,33,August,Aug,8,3,2005
20050813,8/13/2005,Saturday,33,August,Aug,8,3,2005
20050814,8/14/2005,Sunday,34,August,Aug,8,3,2005
20050815,8/15/2005,Monday,34,August,Aug,8,3,2005
20050816,8/16/2005,Tuesday,34,August,Aug,8,3,2005
20050817,8/17/2005,Wednesday,34,August,Aug,8,3,2005
20050818,8/18/2005,Thursday,34,August,Aug,8,3,2005
20050819,8/19/2005,Friday,34,August,Aug,8,3,2005
20050820,8/20/2005,Saturday,34,August,Aug,8,3,2005
20050821,8/21/2005,Sunday,35,August,Aug,8,3,2005
20050822,8/22/2005,Monday,35,August,Aug,8,3,2005
20050823,8/23/2005,Tuesday,35,August,Aug,8,3,2005
20050824,8/24/2005,Wednesday,35,August,Aug,8,3,2005
20050825,8/25/2005,Thursday,35,August,Aug,8,3,2005
20050826,8/26/2005,Friday,35,August,Aug,8,3,2005
20050827,8/27/2005,Saturday,35,August,Aug,8,3,2005
20050828,8/28/2005,Sunday,36,August,Aug,8,3,2005
20050829,8/29/2005,Monday,36,August,Aug,8,3,2005
20050830,8/30/2005,Tuesday,36,August,Aug,8,3,2005
20050831,8/31/2005,Wednesday,36,August,Aug,8,3,2005
20050901,9/1/2005,Thursday,36,September,Sep,9,3,2005
20050902,9/2/2005,Friday,36,September,Sep,9,3,2005
20050903,9/3/2005,Saturday,36,September,Sep,9,3,2005
20050904,9/4/2005,Sunday,37,September,Sep,9,3,2005
20050905,9/5/2005,Monday,37,September,Sep,9,3,2005
20050906,9/6/2005,Tuesday,37,September,Sep,9,3,2005
20050907,9/7/2005,Wednesday,37,September,Sep,9,3,2005
20050908,9/8/2005,Thursday,37,September,Sep,9,3,2005
20050909,9/9/2005,Friday,37,September,Sep,9,3,2005
20050910,9/10/2005,Saturday,37,September,Sep,9,3,2005
20050911,9/11/2005,Sunday,38,September,Sep,9,3,2005
20050912,9/12/2005,Monday,38,September,Sep,9,3,2005
20050913,9/13/2005,Tuesday,38,September,Sep,9,3,2005
20050914,9/14/2005,Wednesday,38,September,Sep,9,3,2005
20050915,9/15/2005,Thursday,38,September,Sep,9,3,2005
20050916,9/16/2005,Friday,38,September,Sep,9,3,2005
20050917,9/17/2005,Saturday,38,September,Sep,9,3,2005
20050918,9/18/2005,Sunday,39,September,Sep,9,3,2005
20050919,9/19/2005,Monday,39,September,Sep,9,3,2005
20050920,9/20/2005,Tuesday,39,September,Sep,9,3,2005
20050921,9/21/2005,Wednesday,39,September,Sep,9,3,2005
20050922,9/22/2005,Thursday,39,September,Sep,9,3,2005
20050923,9/23/2005,Friday,39,September,Sep,9,3,2005
20050924,9/24/2005,Saturday,39,September,Sep,9,3,2005
20050925,9/25/2005,Sunday,40,September,Sep,9,3,2005
20050926,9/26/2005,Monday,40,September,Sep,9,3,2005
20050927,9/27/2005,Tuesday,40,September,Sep,9,3,2005
20050928,9/28/2005,Wednesday,40,September,Sep,9,3,2005
20050929,9/29/2005,Thursday,40,September,Sep,9,3,2005
20050930,9/30/2005,Friday,40,September,Sep,9,3,2005
20051001,10/1/2005,Saturday,40,October,Oct,10,4,2005
20051002,10/2/2005,Sunday,41,October,Oct,10,4,2005
20051003,10/3/2005,Monday,41,October,Oct,10,4,2005
20051004,10/4/2005,Tuesday,41,October,Oct,10,4,2005
20051005,10/5/2005,Wednesday,41,October,Oct,10,4,2005
20051006,10/6/2005,Thursday,41,October,Oct,10,4,2005
20051007,10/7/2005,Friday,41,October,Oct,10,4,2005
20051008,10/8/2005,Saturday,41,October,Oct,10,4,2005
20051009,10/9/2005,Sunday,42,October,Oct,10,4,2005
20051010,10/10/2005,Monday,42,October,Oct,10,4,2005
20051011,10/11/2005,Tuesday,42,October,Oct,10,4,2005
20051012,10/12/2005,Wednesday,42,October,Oct,10,4,2005
20051013,10/13/2005,Thursday,42,October,Oct,10,4,2005
20051014,10/14/2005,Friday,42,October,Oct,10,4,2005
20051015,10/15/2005,Saturday,42,October,Oct,10,4,2005
20051016,10/16/2005,Sunday,43,October,Oct,10,4,2005
20051017,10/17/2005,Monday,43,October,Oct,10,4,2005
20051018,10/18/2005,Tuesday,43,October,Oct,10,4,2005
20051019,10/19/2005,Wednesday,43,October,Oct,10,4,2005
20051020,10/20/2005,Thursday,43,October,Oct,10,4,2005
20051021,10/21/2005,Friday,43,October,Oct,10,4,2005
20051022,10/22/2005,Saturday,43,October,Oct,10,4,2005
20051023,10/23/2005,Sunday,44,October,Oct,10,4,2005
20051024,10/24/2005,Monday,44,October,Oct,10,4,2005
20051025,10/25/2005,Tuesday,44,October,Oct,10,4,2005
